
======================================SUBJECT-VERB EDGE==============================================

	Weight			Connection name
	20218548			cat-turn
	27277969			cat-walk
	22687089			cat-wave
	19053958			cat-brush
	17385656			cat-catch
	0			cat-draw sword
	20748317			cat-dribble
	21821264			cat-golf
	19647063			cat-hit
	21187793			cat-kick
	20892778			cat-pick
	19598251			cat-pour
	25021763			cat-push
	24780639			cat-ride
	0			cat-shoot ball
	0			cat-shoot bow
	0			cat-shoot gun
	0			cat-swing bat
	22840994			cat-exercise
	23213245			cat-throw
	17441336			cat-fence
	19877323			cat-hug
	24373406			cat-kiss
	20543273			cat-punch
	0			cat-shake hands
	0			cat-sword fight
	15831169			chair-smile
	17581671			chair-laugh
	13102891			chair-chew
	20166675			chair-talk
	0			chair-smake
	13218882			chair-eat
	15930343			chair-drink
	13049248			chair-cartwheel
	18206342			chair-clap
	17230409			chair-climb
	0			chair-climb stairs
	15763008			chair-dive
	18075157			chair-fall
	0			chair-backhand flip
	12758808			chair-handstand
	19545117			chair-jump
	-5494			chair-pull up
	0			chair-push up
	16983000			chair-run
	-26097			chair-sit down
	0			chair-sit up
	15506556			chair-somersault
	0			chair-stand up
	16516938			chair-turn
	22283919			chair-walk
	18533538			chair-wave
	15565560			chair-brush
	14202691			chair-catch
	0			chair-draw sword
	16949716			chair-dribble
	17826228			chair-golf
	16050080			chair-hit
	17308733			chair-kick
	17067729			chair-pick
	16010204			chair-pour
	20440780			chair-push
	20243801			chair-ride
	0			chair-shoot ball
	0			chair-shoot bow
	0			chair-shoot gun
	0			chair-swing bat
	18659266			chair-exercise
	18963365			chair-throw
	14248177			chair-fence
	16238184			chair-hug
	19911124			chair-kiss
	16782212			chair-punch
	0			chair-shake hands
	0			chair-sword fight
	12818416			table-smile
	14235789			table-laugh
	10609344			table-chew
	16328854			table-talk
	0			table-smake
	10703261			table-eat
	12898717			table-drink
	10565910			table-cartwheel
	14741582			table-clap
	13951374			table-climb
	0			table-climb stairs
	12763227			table-dive
	14635362			table-fall
	0			table-backhand flip
	10330741			table-handstand
	15825581			table-jump
	-4448			table-pull up
	0			table-push up
	13751048			table-run
	-21131			table-sit down
	0			table-sit up
	12555579			table-somersault
	0			table-stand up
	13373680			table-turn
	18043175			table-walk
	15006510			table-wave
	12603354			table-brush
	11499846			table-catch
	0			table-draw sword
	13724098			table-dribble
	14433805			table-golf
	12995668			table-hit
	14014792			table-kick
	13819653			table-pick
	12963380			table-pour
	16550795			table-push
	16391302			table-ride
	0			table-shoot ball
	0			table-shoot bow
	0			table-shoot gun
	0			table-swing bat
	15108312			table-exercise
	15354540			table-throw
	11536676			table-fence
	13147974			table-hug
	16121935			table-kiss
	13588471			table-punch
	0			table-shake hands
	0			table-sword fight
	13036719			cow-smile
	14478230			cow-laugh
	10790025			cow-chew
	16606940			cow-talk
	0			cow-smake
	10885542			cow-eat
	13118387			cow-drink
	10745851			cow-cartwheel
	14992636			cow-clap
	14188971			cow-climb
	0			cow-climb stairs
	12980589			cow-dive
	14884607			cow-fall
	0			cow-backhand flip
	10506678			cow-handstand
	16095097			cow-jump
	-4524			cow-pull up
	0			cow-push up
	13985233			cow-run
	-21491			cow-sit down
	0			cow-sit up
	12769405			cow-somersault
	0			cow-stand up
	13601438			cow-turn
	18350457			cow-walk
	15262077			cow-wave
	12817994			cow-brush
	11695693			cow-catch
	0			cow-draw sword
	13957825			cow-dribble
	14679618			cow-golf
	13216988			cow-hit
	14253469			cow-kick
	14055007			cow-pick
	13184151			cow-pour
	16832661			cow-push
	16670452			cow-ride
	0			cow-shoot ball
	0			cow-shoot bow
	0			cow-shoot gun
	0			cow-swing bat
	15365612			cow-exercise
	15616033			cow-throw
	11733150			cow-fence
	13371889			cow-hug
	16396497			cow-kiss
	13819887			cow-punch
	0			cow-shake hands
	0			cow-sword fight
	14819453			horse-smile
	16458086			horse-laugh
	12265530			horse-chew
	18877891			horse-talk
	0			horse-smake
	12374108			horse-eat
	14912289			horse-drink
	12215315			horse-cartwheel
	17042836			horse-clap
	16129272			horse-climb
	0			horse-climb stairs
	14755648			horse-dive
	16920035			horse-fall
	0			horse-backhand flip
	11943436			horse-handstand
	18296055			horse-jump
	-5143			horse-pull up
	0			horse-push up
	15897674			horse-run
	-24429			horse-sit down
	0			horse-sit up
	14515585			horse-somersault
	0			horse-stand up
	15461396			horse-turn
	20859830			horse-walk
	17349122			horse-wave
	14570818			horse-brush
	13295045			horse-catch
	0			horse-draw sword
	15866517			horse-dribble
	16687014			horse-golf
	15024374			horse-hit
	16202590			horse-kick
	15976988			horse-pick
	14987046			horse-pour
	19134479			horse-push
	18950088			horse-ride
	0			horse-shoot ball
	0			horse-shoot bow
	0			horse-shoot gun
	0			horse-swing bat
	17466815			horse-exercise
	17751481			horse-throw
	13337624			horse-fence
	15200456			horse-hug
	18638671			horse-kiss
	15709717			horse-punch
	0			horse-shake hands
	0			horse-sword fight
	14974986			bike-smile
	16630818			bike-laugh
	12394260			bike-chew
	19076020			bike-talk
